رتبه,آوریل ۲۰۱۸,مه ۲۰۱۸,ژوئن ۲۰۱۸
1,تومان,ایران,بازار
2,قیمت,تحریم,ارز
3,دلار,كشور,ایران
4,كشور,نفت,سرمایه
5,ارز,برجام,قیمت
6,افزایش,خصوصی,دلار
7,بازار,واگن,افزایش
8,مصرف,اروپایی,تحریم
9,تحریم,امریكا,نرخ
10,خودرو,بانكی,مصرف
11,ریال,تولید,نفت
12,سكه,روحانی,اروپا
13,فروش,سرمایه,امریكا
14,نرخ,سوئیس,اهن
15,4200,شركت,دولت
