ID,Permalink,Text,Date,Retweets,Favorites
947166899200290816,https://twitter.com/Tasnimnews_Fa/status/947166899200290816,#اغتشاشگران رفتند و بار تخریبشان ماند بر دوش رفتگرهایی که خود اصلی ترین قربانی وضعیت نابسامان اقتصادی و گرانی ها هستند/ این است طنز تلخ روزگار ما... #فتنه_جدیدpic.twitter.com/ANA4Mnfqoe,2017-12-30,35,240
947163792097628160,https://twitter.com/Tasnimnews_Fa/status/947163792097628160,گزارش تصویری از بر هم زدن #امنیت #مردم و تخریب اموال بیت المال در خیابان #انقلاب توسط #اغتشاشگران و عناصر فرصت طلب #ضد انقلاب #فتنه_جديدpic.twitter.com/ohCPMvzJR3,2017-12-30,7,40
947146867816755201,https://twitter.com/Tasnimnews_Fa/status/947146867816755201,دروغ بزرگ!/ تصویر حمل #تانک و نفربر که رسانه های معاند در حال انتشار آن هستند و نوشتند که امروز اتفاق افتاده، مربوط به ۱۵ آذر سال ۹۴ است که با یک سرچ ساده در گوگل می توان فهمید #فتنه_جدیدpic.twitter.com/DIE2QFkbWG,2017-12-30,7,36
947106666801111041,https://twitter.com/Tasnimnews_Fa/status/947106666801111041,توییت #آذری_جهرمی خطاب به موسس #تلگرام: یک #کانال تلگرامی در حال نفرت پراکنی است، مردم را تشویق می کند که از کوکتل مولوتوف استفاده کنند، مسلح شوند و جامعه را نا آرام کنند/ حالا زمان آن است که چنین تشویقاتی توسط تلگرام متوقف شود #فتنه_جدید http://yon.ir/2MGHF pic.twitter.com/7oTycihBsJ,2017-12-30,6,31
947099841569554432,https://twitter.com/Tasnimnews_Fa/status/947099841569554432,با حضور #دانشجویان در مقابل #دانشگاه_تهران، افراد فرصت طلبی که قصد انحراف تجمعات مردمی را داشتند متفرق شدند #فتنه_جدیدpic.twitter.com/DoZyCtR0U6,2017-12-30,5,28
947099230061051904,https://twitter.com/Tasnimnews_Fa/status/947099230061051904,تجمعات امروز #تهران و تکرار فرصت‌طلبی ریاکاران/خبرنگار #تسنیم:نزدیک ١٠٠ نفر در مقابل #دانشگاه_تهران تجمع کرده‌اند/هیچکدام از شعارهای آنها ناظر به مسائل اقتصادی نیست/شعارهایی که سر داده می‌شود عمدتاً کاملاً مشابه به آنهایی است که در #فتنه۸۸ سر داده می‌شد http://tn.ai/1615569 pic.twitter.com/JNVh3pc7Cd,2017-12-30,13,48
947088901599936512,https://twitter.com/Tasnimnews_Fa/status/947088901599936512,#مرعشی سخنگوی حزب کارگزاران: سرخوردگی مردم ناشی از تیم #روحانی است/ آقایان اگر بلد نیستند، کنار بکشند/ وقتی آقای #نوبخت می‌گفت یارانه را قطع نمی‌کنیم، حالا می‌‌گوید می‌خواهیم #یارانه ٣٠ میلیون نفر را قطع کنیم، یعنی این حرف‌ها با هم سازگار نیست http://tn.ai/1615435 pic.twitter.com/7DKfYYAqU3,2017-12-30,8,28
947073727631708160,https://twitter.com/Tasnimnews_Fa/status/947073727631708160,#بنزین_۱۵۰۰ تومانی منتفی شد/ ۱۲۰۰ تومانی عرضه می‌شود/ عضو کمیسیون تلفیق #بودجه_۹۷: رئیس سازمان برنامه و بودجه در جلسه امروز تلفیق از آمادگی #دولت برای عرضه #بنزین با قیمت ۱۲۰۰ تومان خبر داد #بنزین_۱۲۰۰ http://tn.ai/1615438 pic.twitter.com/vuEtYmnjpo,2017-12-30,3,20
947068208149909504,https://twitter.com/Tasnimnews_Fa/status/947068208149909504,گزارش صدا و سیما از ادامه تلاش سازماندهی شده برای سوء استفاده از گله مندی و خواست های اقتصادی و معیشتی مردم برای ایجاد #آشوب و #تظاهرات غیرقانونی خیابانی #فتنه_جدیدpic.twitter.com/FDQUZnluZs,2017-12-30,10,72
947058597346926592,https://twitter.com/Tasnimnews_Fa/status/947058597346926592,#مقدم‌فر کارشناس مسائل استراتژیک: چالش‌های اقتصادی و آسیب‌های اجتماعی، گسل‌هایی که دشمن می‌خواهد فعال کند/دشمن تلاش دارد از این فضا استفاده کند تا عده‌ای را به خیابان بکشاند/ #دشمن به دنبال جداسازی امت از امام است #فتنه_جدید http://tn.ai/1615342 pic.twitter.com/Hb6cHakLLz,2017-12-30,2,24
947044636639588354,https://twitter.com/Tasnimnews_Fa/status/947044636639588354,طراحی نقش پرچم #آمریکا و #رژیم_صهیونیستی کف خیابان میدان #شهدا/ #تهرانpic.twitter.com/hen9RjYmyz,2017-12-30,13,104
