ID,Permalink,Text,Date,Retweets,Favorites
1012721690919436288,https://twitter.com/Tasnimnews_Fa/status/1012721690919436288,صدها هزار نفر از مردم شهر #صنعا پایتخت #یمن با شعار ""ساحل مسئولیت همگان است""، حمایت و همبستگی خود را با مردم استان #الحدیده در برابر ائتلاف متجاوز #سعودی اعلام داشتند http://tn.ai/1763522 pic.twitter.com/CiiGD5EyeA,2018-06-29,5,19
1012721491417452544,https://twitter.com/Tasnimnews_Fa/status/1012721491417452544,#وحید_امیری: موقع پنالتی #رونالدو پشت دروازه به #بیرانوند گفتم ""علی برار بیرش(علی داداش بگیرش)"" http://tn.ai/1763525 pic.twitter.com/MJl0sTSWcF,2018-06-29,7,106
1012669182029287424,https://twitter.com/Tasnimnews_Fa/status/1012669182029287424,بیانیه کارشناسان سازمان برنامه و بودجه ازآحادمردم عزیز ایران:درصورتی که ایده نوینی در5بسته عملیاتی جدید این سازمان شامل حوزه‌ها و موضوعات بودجه، مدیریت نقدینگی، #تولید، #اشتغال و حمایت از اقشار کم‌درآمد دارند، ازوبگاه http://mporg.ir در اختیار سازمان برنامه‌وبودجه قراردهندpic.twitter.com/vBC2TN2jvi,2018-06-29,4,13
1012660688588890112,https://twitter.com/Tasnimnews_Fa/status/1012660688588890112,شبکه اجتماعی ""اینستاگرام"" فیلم منتشر شده توسط #وحید_یامین‌پور با هشتگ #هزارجلادهزاراشرف درباره گروهک #منافقین را حذف کرد http://tn.ai/1763359 pic.twitter.com/b43kfVOcRd,2018-06-29,27,109
1012638330461282304,https://twitter.com/Tasnimnews_Fa/status/1012638330461282304,#هزارجلادهزاراشرف؛ این روزها کاربران ایرانی درباره گروهک #منافقین چه می‌گویند؟/بسیاری از کاربران فضای مجازی در روزهای گذشته با راه‌انداختن هشتگ #هزارجلادهزاراشرف در صفحات شخصی خود در #اینستاگرام و #توییتر به بازخوانی جنایات گروهک منافقین پرداختند http://tn.ai/1763216 pic.twitter.com/MQpABaoRLA,2018-06-29,7,31
1012635503156432897,https://twitter.com/Tasnimnews_Fa/status/1012635503156432897,خطیب #نماز_جمعه تهران: خداوند روزی‌رسان است از اقشار مختلف #مردم می‌خواهم که در برابر معضلات #اقتصادی امروز کشور مقاومت کنند؛ چرا با هم بی‌رحمی می‌کنید چرا اجناس را برخی عرضه نمی‌کنند؟pic.twitter.com/8khJOoZUkY,2018-06-29,9,80
1012632001629868032,https://twitter.com/Tasnimnews_Fa/status/1012632001629868032,#مهدی_فخیم_زاده، #بازیگر و کارگردان سینما و تلویزیون که روز چهارشنبه در یک #تصادف دچار مصدومیت شدید شده بود به هوش آمد http://tn.ai/1763330 pic.twitter.com/eJC4UJqkFC,2018-06-29,8,51
1012609334960848899,https://twitter.com/Tasnimnews_Fa/status/1012609334960848899,#برانکو: #تیم_ملی در #جام_جهانی مربی برنده‌ای همچون دالیچ نداشت/ #کی‌روش از خود بی‌خود شده و ترسیده است http://tn.ai/1763266 pic.twitter.com/0q2piZ2OFi,2018-06-29,7,34
1012602501504303104,https://twitter.com/Tasnimnews_Fa/status/1012602501504303104,#شهادت_مرزبان ارومیه‌ای حین حراست از مرزها/شب گذشته مرزبانان هنگ مرزی #ارومیه در حین پایش و کنترل نوار مرزی دچار سانحه شدند که بر اثر این حادثه گروهبان یکم علی ضیایی به درجه رفیع شهادت نائل آمد,2018-06-29,9,48
1012591804384993281,https://twitter.com/Tasnimnews_Fa/status/1012591804384993281,#قالیباف: #مردم را در عرصه اقتصاد از صحنه خارج کردیم؛ بخش عمده اقتصاد کشور در انحصار یک گروه خاص است http://tn.ai/1763150 pic.twitter.com/2nmOuB4Rkm,2018-06-29,8,70
1012589906412044288,https://twitter.com/Tasnimnews_Fa/status/1012589906412044288,سالروز رحلت سیدالکریم، حضرت #عبدالعظيم_حسنىpic.twitter.com/EIe4Kvi4au,2018-06-29,8,63
1012575087411818496,https://twitter.com/Tasnimnews_Fa/status/1012575087411818496,آیت‌الله #مکارم_شیرازی در دیدار واعظی:باید #دولت را تقویت کنیم؛هرگونه تضعیف دولت امری کاملاً خلاف است/امروز زمان تسویه‌ حساب‌های شخصی و حل اختلافات انتخاباتی نیست/دولت در صدر اولویت‌های خود معیشت و زندگی عامه #مردم را باید مراقبت کند http://tn.ai/1763086 pic.twitter.com/gAekVc1uuE,2018-06-29,5,19
1012573790746882049,https://twitter.com/Tasnimnews_Fa/status/1012573790746882049,آیت‌الله #نوری_همدانی: دولت با نظارت و اشراف دقیق با #گرانی مقابله کند http://tn.ai/1763098 pic.twitter.com/panOECFtOH,2018-06-29,5,13
