ID,Permalink,Text,Date,Retweets,Favorites
968559274170470404,https://twitter.com/Tasnimnews_Fa/status/968559274170470404,تصاویر/مراسم رونمایی ازکتاب لاله ای از ملکوت شرح حال عارف بالله و عاشق دلسوخته #اهل_بیت(ع) حاج #شیخ_جعفرمجتهدی_تبریزی http://tn.ai/1668246 pic.twitter.com/h4NvUErFGm,2018-02-27,0,17
968557775763771393,https://twitter.com/Tasnimnews_Fa/status/968557775763771393,نظر رهبرانقلاب درباره تجلیل از #سردارسلیمانی/ #حدادیان: #رهبرانقلاب مبنی بر ساخت فیلم درباره حاج قاسم سلیمانی بیان کردند، ""باید از زندگی سردار سلیمانی فیلم ساخته شود مثل فیلم « #به_وقت_شام»‌""pic.twitter.com/jOHojM7dPy,2018-02-27,9,61
968549847581282304,https://twitter.com/Tasnimnews_Fa/status/968549847581282304,#ظريف در بدو ورود به بلغارستان در جمع خبرنگاران گفت که شب گذشته شاهد یک نمایش زشت در حمایت از #تجاوزگری توسط شورای امنیت #سازمان_ملل بودیم http://tn.ai/1668247 pic.twitter.com/SUIgc0nIg0,2018-02-27,0,13
968549151658139650,https://twitter.com/Tasnimnews_Fa/status/968549151658139650,درختی به نام هورا #کرپیتانس که تنه ی آن از چندین هزار میخ چوبی تشکیل شده است و میوه آن مانند #نارنجک منفجر می شود و تخم هایش مانند ترکش با سرعت ۱۰۰ کیلومتر در ساعت پراکنده می شودpic.twitter.com/0p2AjxFW1R,2018-02-27,2,16
968548881368838144,https://twitter.com/Tasnimnews_Fa/status/968548881368838144,تصاویر/ بزرگداشت مرحوم #فرج_الله_سلحشور http://tn.ai/1668214 pic.twitter.com/RYXZnPXsbF,2018-02-27,1,13
968545615629209602,https://twitter.com/Tasnimnews_Fa/status/968545615629209602,يک #شکارچى کانادايى که براى شکار به کوه‌های پاکستان رفته بود،با صحنه عجيبی روبرو شد /جسد يک #قوچ وحشى که به دليل رشد نادرست شاخهايش و ورود آنها به داخل سرش جانش را از دست دادهpic.twitter.com/YTuvXT1IjL,2018-02-27,0,16
968544885614809089,https://twitter.com/Tasnimnews_Fa/status/968544885614809089,پيام رييس جمهور به همایش بزرگداشت #سردارحاج_قاسم_سلیمانی:سرلشکر قاسم سلیمانی در برهه ای بسیار حساس از تاریخ ایران و جهان با مجاهدتی ناب در راه #دفاع از جان و ناموس مسلمانان پرداخت http://tn.ai/1668194 pic.twitter.com/DD9cZMyCuO,2018-02-27,2,23
968498559514329088,https://twitter.com/Tasnimnews_Fa/status/968498559514329088,#باهنر: طرح #رفراندوم از سوی #رئیس_جمهور جای گله دارد/ یکی از تئوری‌های #احمدی‌نژاد این است که همواره روی آنتن باشد، فردی با این سابقه اگر بخواهد هر روز در گوشه‌ای داستانی را بیان کند درست نیست http://tn.ai/1668131 pic.twitter.com/vz9mlNctGC,2018-02-27,2,16
968498117019447296,https://twitter.com/Tasnimnews_Fa/status/968498117019447296,#محسن_رضایی در همایش بزرگداشت #سردار_سلیمانی: اگر ما با #داعش مبارزه نمی‌کردیم اروپا ناامن می‌شد/ سردار #حاج_قاسم_سلیمانی انسانی است که خودش را در گمنامی یافته و می‌خواهد در گمنامی پرواز کند http://tn.ai/1668153 pic.twitter.com/x0mJkWPtZl,2018-02-27,3,28
968480910176735232,https://twitter.com/Tasnimnews_Fa/status/968480910176735232,جزئیات امداد در ۳ متر برف #دنا/ انتقال پیکرهای هواپیمای تهران-یاسوج به سه هفته دیگر موکول شد #سقوط_هواپیما http://tn.ai/1668097 pic.twitter.com/oWULKgRAiN,2018-02-27,0,9
