ID,Permalink,Text,Date,Retweets,Favorites
958227264667312128,https://twitter.com/Tasnimnews_Fa/status/958227264667312128,#محسن_هاشمی : شاهد بحران در سطح شهر تهران به دلیل بارش برف بودیم که جامعه تهرانی را #غافلگیر کرد/متاسفانه #شهرداری تهران نسبت به #برف‌روبی و آماده‌سازی کوچه پسکوچه‌ها عملکرد خوبی را نداشت http://tn.ai/1642361 pic.twitter.com/gFlRp4Oe3I,2018-01-30,6,43
958223083579625472,https://twitter.com/Tasnimnews_Fa/status/958223083579625472,#مجری معروف تلویزیون #بدهکارمیلیاردی #مؤسسات_غیرمجاز است/دبیر ستاد هماهنگی مبارزه با مفاسد اقتصادی:بسیاری ازاین معوقات موسسات اعتباری غیرمجاز برای آدم‌های مطرح است. یکی از این افراد راهمه کشور می‌شناسند؛هر شب باظاهر ورفتارموجه درتلویزیون برنامه اجرا می‌کند http://tn.ai/1642378 pic.twitter.com/v88K0VE9aM,2018-01-30,2,23
958444153594982400,https://twitter.com/Tasnimnews_Fa/status/958444153594982400,#زلزله ای به بزرگی ۴ ریشتر حوالی کنارتخته در استان #فارس را لرزاند http://tn.ai/1643317 pic.twitter.com/k70RnmY8Ho,2018-01-30,2,15
958396165996687360,https://twitter.com/Tasnimnews_Fa/status/958396165996687360,ورزشگاه امام رضا(ع) نامزد زیباترین #ورزشگاه سال ۲۰۱۷/ورزشگاه امام رضا در شهر #مشهد در بین ۲۷ نامزد زیباترین ورزشگاه فوتبال جهان از نگاه سایت http://STADIUMDB.COM  قرارگرفت http://tn.ai/1643258 pic.twitter.com/5FMS1pXST7,2018-01-30,1,17
958395986988052480,https://twitter.com/Tasnimnews_Fa/status/958395986988052480,هزار داستان هفت/واکنش #رشیدپور به انتخاب شدنش برای اجرای برنامه هفت/ #مهران_مدیری در شب های نخست مهمان ویژه برنامه خواهد بودpic.twitter.com/PDfp8pKjhf,2018-01-30,0,8
958395639838130176,https://twitter.com/Tasnimnews_Fa/status/958395639838130176,#امارات خواستار اصلاح #برجام شد/وزیر امور خارجه امارات طی مقاله‌ای در روزنامه آمریکایی فایننشال تایمز مدعی شد:ایران در حال تهدید ثبات در #خاورمیانه است/امارات معتقد است که عدم تغییر برجام و ""ادامه وضعیت فعلی، ارزش‌های این توافق را از بین می‌برد."" http://tn.ai/1643215 pic.twitter.com/Skfp8httvN,2018-01-30,1,9
958391723327016961,https://twitter.com/Tasnimnews_Fa/status/958391723327016961,رسانه‌ها از #تیراندازی و زخمی شدن چند نفر در «روبای» #فرانسه خبر دادندpic.twitter.com/inb3XWpzaf,2018-01-30,0,14
958362868755308545,https://twitter.com/Tasnimnews_Fa/status/958362868755308545,#نجفی:استانداری به عملکرد #شهرداری تهران در برف روزهای اخیر از بیست ۱۸ داد/ اگر راهها بسته بود جلسه #مجلس ساعت ۸:۴۵ شروع نمی‌شدpic.twitter.com/qI1UvubEF0,2018-01-30,0,8
958347180682526720,https://twitter.com/Tasnimnews_Fa/status/958347180682526720, یکی از مسئولان روابط عمومی اداره کل حفاظت #محیط_زیست خراسان شمالی: تصاویر مربوط به دو سال پیش است و علت مرگ حیوان پس از بررسی لاشه، کهولت سن تشخیص داده شده است http://tn.ai/1642913 pic.twitter.com/7xafh4Jtgd,2018-01-30,0,8
958331321570463745,https://twitter.com/Tasnimnews_Fa/status/958331321570463745,#برف روبی با #نفربر/ جاده وهن آباد_ رباط کریم به همت تیپ مکانیزه ۲۰ رمضان سپاه بازگشایی شدpic.twitter.com/yu2fo8ZYET,2018-01-30,0,37
958306498052018176,https://twitter.com/Tasnimnews_Fa/status/958306498052018176,#چمران: #شهرداری تهران در #طرح_ترافیک جدیدفقط به دنبال کسب درآمد است/طرح‌ ترافیک جدید باعث #آلودگی_هوا و #ترافیک در سطح شهر خواهد شد/افزایش درآمد شهرداری از طریق طرح ترافیک خیانت به شهروندان #تهرانی است/این طرح قطعا ناراضایتی شهروندان را در پی خواهد داشت http://tn.ai/1642852 pic.twitter.com/lzdiB0tIKj,2018-01-30,2,13
958304015342886913,https://twitter.com/Tasnimnews_Fa/status/958304015342886913,گل اول #استقلال تهران به #صنعت_نفت آبادان توسط منتظری استقلال: نفت آبادان:pic.twitter.com/qyiW9HeVQk,2018-01-30,0,13
958280506772205568,https://twitter.com/Tasnimnews_Fa/status/958280506772205568,معاونت سیما اجرای رضا #رشیدپور را در برنامه ""هفت"" تایید کرد/ پیش از این قرار بود #مهران_مدیری اجرای این برنامه را در ایام #دهه_فجر به عهده داشته باشد http://tn.ai/1642748 pic.twitter.com/QovyYii32h,2018-01-30,0,14
958277406145511424,https://twitter.com/Tasnimnews_Fa/status/958277406145511424,دادگاه نظامی #رژیم_صهیونیستی ""عوفر"" شامگاه دیروز دوشنبه طی حکمی غیابی مدت بازداشت #عهد_التمیمی دختر نوجوان #فلسطینی را تا ششم ماه فوریه آینده تمدید کرد #اسرائیل #Palestinians #Israel #FreeAhedTamimipic.twitter.com/t0Bz9KaMhQ,2018-01-30,1,15
958264206880538624,https://twitter.com/Tasnimnews_Fa/status/958264206880538624,«کارلوس #کی‌روش» سرمربی تیم ملی #فوتبال #ایران هفتمین مربی گران قیمت حاضر در جام جهانی ۲۰۱۸ استpic.twitter.com/LMBTMhCSLt,2018-01-30,1,11
958262677054414848,https://twitter.com/Tasnimnews_Fa/status/958262677054414848,وضعیت #پل_عابر ورودی به میدان تره‌بار #پیروزی/ افراد سالخورده زیادی روزانه از این پل تردد دارند #نجفی #ناتوانpic.twitter.com/YmK4iYYSvI,2018-01-30,4,20
958238245250363392,https://twitter.com/Tasnimnews_Fa/status/958238245250363392,آیت‌الله #صدیقی:مسئولين نسبت به گذشته نیز با زبان عذر و احترام با مردم صحبت کنند؛صادقانه بگویند مردم ما عذر می‌خواهیم که در فلان جا مسامحه کردیم و فساد شد؛ در اطراف برخی از مسئولین فسادهای هنگفتی شده است/اينها كه برای مبارزه با #فساد اقدام نکرده‌اند، باید از مردم عذرخواهی کنندpic.twitter.com/JwBmOnVeZf,2018-01-30,0,17
958234490794598400,https://twitter.com/Tasnimnews_Fa/status/958234490794598400,وزیر کشور: #دانشجوی_بازداشتی نداریم /کمتر از ٣٠٠ نفر که در حوادث اخیر مرتکب #جرم شده اند در بازداشت هستند/ در #تهران ٩ نفر در #بازداشت هستند که هیچکدام #دانشجو نیستند #اغتشاشات_سراسریpic.twitter.com/N2TDieJkpZ,2018-01-30,0,11
958224167777783810,https://twitter.com/Tasnimnews_Fa/status/958224167777783810,دبیر ستاد هماهنگی مبارزه با مفاسد اقتصادی:یک کت و شلوار شیک و پیراهن سفید می‌پوشد و زبان انتقادش هم به سمت همه مقامات جمهوری اسلامی برمی‌گردد.شما اگر خیلی راست می‌گویی،بدهی‌ات رابده؛ لازم نیست درتلویزیون مانوربدهی وشواجرا کنی،دفعه بعد اسمش را مطرح خواهم کرد #مجری_تلویزیون #بدهکار,2018-01-30,1,11
958221567628017664,https://twitter.com/Tasnimnews_Fa/status/958221567628017664,#امام _خامنه ای:كشتارهای اخیر در واقع آغاز همین نقشه است/برای تروریست‌های مورد حمایت امریكا #شیعه و #سنی فرق نمی‌كند و مردم غیرنظامی اعم از شیعه و سنی هدف آنها هستند,2018-01-30,2,21
958221007885660160,https://twitter.com/Tasnimnews_Fa/status/958221007885660160,#امام_خامنه‌ای در ابتدای جلسه درس خارج فقه:هدف #امریکا از انتقال #داعش به #افغانستان توجیه حضور خود درمنطقه است/همان دست‌هایی كه با ایجاد داعش، آن را ابزاری برای ظلم و جنایت علیه مردم در سوریه و عراق قرار داد، امروز پس از شكست در آن مناطق به‌دنبال انتقال داعش به افغانستان هستندpic.twitter.com/jpb7izNNSI,2018-01-30,3,26
958215472280932353,https://twitter.com/Tasnimnews_Fa/status/958215472280932353,روایت #آخوندی از تخلف ۷۰۰ میلیاردی #سازمان_نظام_مهندسی/این سازمان ها در سال گذشته یک هزار و 500 میلیارد تومان گردش مالی داشتند که بخشی از آن را در بانکها سپرده گذاری کردند و از این سپرده گذاری 172 میلیارد تومان سود می گرفتند http://tn.ai/1642274 pic.twitter.com/l4tEQhdsLt,2018-01-30,6,22
958214644673466368,https://twitter.com/Tasnimnews_Fa/status/958214644673466368,سیدامیر سیاح منتقد دولت: #اقتصاد طی ۲۸ سال اخیر در اختیار یک تیم بود که الان هم حاکم است/وقتی از مسئولین دولتی سوال می‌شود چطور #نقدینگی چند برابر شده اما به تولید وصل نشده است، جوابی ندارند http://tn.ai/1642159 pic.twitter.com/PKefQ0n0l7,2018-01-30,4,27
958213031867142144,https://twitter.com/Tasnimnews_Fa/status/958213031867142144,#وزیرراه و شهر سازی: پروازها در #فرودگاه های مهرآباد و امام خمینی از سر گرفته شده است اما بازگشت این فرودگاه ها به شرایط عادی دو، سه روز زمان می برد http://tn.ai/1642269 pic.twitter.com/ySpr8Kzw0q,2018-01-30,4,15
958044895415021568,https://twitter.com/Tasnimnews_Fa/status/958044895415021568,عزت از آن خداست/ #سردار_سلیمانی: اگر از من تعریف کردند و گفتند «مالک اشتر» و من باورم شد؛ سقوط می‌کنم، اما اگر در درون خودم ذلیل شدم خداوند مرا بزرگ می‌گرداند #من_عاشق_قاسم_سلیمانی_هستمpic.twitter.com/6YtQU6GXHk,2018-01-29,9,100
958014119050870786,https://twitter.com/Tasnimnews_Fa/status/958014119050870786,حجت‌الاسلام رئیسی با خانواده شهید عماد مغنیه در لبنان دیدار كرد/ #رئیسی در دیدار با علماى #لبنان: صهیونیست‌ها دنبال تشکیل قلمرو تروریستی #داعش بودند/ جبهه #مقاومت این توطئه را با مجاهدت خود در نطفه خفه کردpic.twitter.com/KpDyBquBWt,2018-01-29,3,37
957968241229488129,https://twitter.com/Tasnimnews_Fa/status/957968241229488129,طباخ هنرمند/ وقتی یک کله پز #آدم_برفی درست می‌کند!pic.twitter.com/ZCjzYQU5U6,2018-01-29,1,24
957955591699419136,https://twitter.com/Tasnimnews_Fa/status/957955591699419136, بهره‌گیری شهرداری #تهران از مدرن‌ترین شیوه شن‌پاشی معابر که بسیار هزینه‌بر است! #قالیباف_استعفاpic.twitter.com/KISQkBWdVV,2018-01-29,18,154
957946617130299394,https://twitter.com/Tasnimnews_Fa/status/957946617130299394,ناگفته‌هایی ازعملیات اخیر #سپاه علیه #داعش/سردارکوثری:تیم #تروریستی ٢٢نفره‌ای ازغرب کشور قصد ورود به داخل کشور را داشتند /١٦نفر از آنها زنده دستگیر شدند/یکی ازآنها به هلاکت رسید #من_عاشق_قاسم_سلیمانی_هستم #سردار_سلیمانی http://tn.ai/1641853 pic.twitter.com/AqRlMIu6ch,2018-01-29,7,45
957940801790726144,https://twitter.com/Tasnimnews_Fa/status/957940801790726144,آیت‌الله #نوری_همدانی: مراسم‌های عزاداری ایام #فاطمیه باشکوه برگزار شود http://tn.ai/1641869 pic.twitter.com/vXsAYOxvmN,2018-01-29,2,21
957936763548393473,https://twitter.com/Tasnimnews_Fa/status/957936763548393473,آخرین جزئیات از وضعیت بازیکن #استقلال/ یکی از سرنشینان به سبب ضربه مغزی بیهوش است/ رئیس دانشگاه علوم پزشکی #بوشهر: وضعیت مهدی #قائدی از خطر اصلی رفع شده است/ فوت یکی از سرنشینان این حادثه در #فضای_مجازی صحت ندارد http://tn.ai/1641810 pic.twitter.com/JXBRJQFZ5Z,2018-01-29,3,23
957927619936358400,https://twitter.com/Tasnimnews_Fa/status/957927619936358400,حرم امامین #کاظمین سیاهپوش ایام #فاطمیه شدpic.twitter.com/NObJGAMH0X,2018-01-29,4,43
